title,five_yr_bin,year_publication,authors,journal,volume_pages,sampling_start_date,sampling_end_date,study_area_grids,preferential_hemisphere,preferential_habitat,method,sampling_protocol,type_of_count,attraction_bias,continuous_time,n_snapshot,dist_boat,ship_speed,height_above_water,n_sides,n_observers,on_water_only,ship_followers,other_taxa_recorded,database_or_project,study_purpose,stats_technique,obs
"Distribution and population status of whiskered auklet in the Aleutian Islands, Alaska",1976_1980,1980,Byrd and Gibson,West Birds,11:135-140,05-1972,04-1974,217,north,coastal,strip_transect,other,continuous,none_assumed,NA,NA,300m,8.5,not specified,2,1 or 2,no,not specified,NA,None,distribution,qualitative,
Seabird observations in southeastern Tasmania in autumn 1979,1976_1980,1980,Carter,Tasman Bird Rep,9:12-14,05-1979,05-1979,94,south,oceanic,log_book,other,not specified,commercial_fishing,NA,NA,not specified,not specified,not specified,not specified,1,no,pooled,NA,None,distribution,qualitative,onboard operating deep lining for trevalla
Seabirds observed between Sydney and Buenos Aires,1976_1980,1980,Rogers,Notornis,27:69-78,11-1970,12-1970,"95, 96, 49, 50, 51, 52, 53, 54, 55, 56, 80, 81",south,oceanic,log_book,other,continuous,none_assumed,60min,NA,not specified,not specified,not specified,1,1,no,not specified,NA,None,distribution,qualitative,"""details of the whole voyager were lodged with the royal naval bird watching society and have been summarised by BOURNE & DIXON 1975 [sea swallow 24:65-88]""."
"Seabird observations in the Southern Ocean south of Africa, summer 1975-1976",1981_1985,1981,Flora,Cormorant,9:3-7,01-1976,02-1976,"86, 62, 38",south,oceanic,strip_transect,other,continuous,none_assumed,15-30min,NA,1850m,not specified,not specified,4,1,no,pooled,NA,None,distribution,qualitative,"The authors mentioned it was a sedimentary marine chemistry voyage. Atlhough they mention the 'biological properties were measured', there is no specific mention about fishing, so I assumed 'no' attraction bias"
Carbon flux to seabirds in waters with different mixing regimes in the southeastern Bering Sea,1981_1985,1982,Schneider and Hunt,Mar Biol,67:337-344,1975,1979,217,north,oceanic,strip_transect,other,continuous,acknowledged_corrected,10min,NA,300m,not specified,not specified,1,not specified,no,"For ship-attracted species, a correction factor was computed from ship and helicopter counts, paired by location.",NA,PROBES,ecology,qualitative,
Notes on skuas and jaegers in the western Tasman Sea,1981_1985,1982,Barton,Emu,82:56-59,09-1976,04-1979,95,south,oceanic,log_book,other,not specified,commercial_fishing,not specified,NA,not specified,not specified,not specified,not specified,1,no,pooled,NA,None,distribution,qualitative,Onboard fishing vessel
"Observations of birds at sea between Cape Town, Tristan da Cunha and Gough Island, October-November 1977",1981_1985,1983,Voisin,Cormorant,11:24-34,10-1977,11-1977,"84, 85, 86",south,oceanic,strip_transect,other,continuous,none_assumed,10min,NA,not specified,10,not specified,not specified,1,no,pooled,NA,None,distribution,qualitative,
An ecological comparison of oceanic seabird communities of the South Pacific Ocean,1981_1985,1983,Ainley and Boekelheide,Stud Avian Biol,8:2-23,11-1976,5-1980,"196, 173, 150, 127, 103, 79, 55, 56, 32, 96, 72, 48, 24, 95, 73, 98, 123, 147, 172, 120, 97, 122, 147, 171",both,oceanic,strip_transect,other,continuous,acknowledged_corrected,30min,NA,300m,>6,not specified,1,2,no,"counted once then ignored, but corrected by a factor of 0.25 individuals each",NA,None,distribution,"hypothesis_testing, qualitative, modelling",
Environmental determinants of pelagic seabird distribution in the African sector of the Southern Ocean,1981_1985,1985,Abrams,J Biogeogr,12:473-492,04-1979,05-1982,"85, 86, 61, 62, 37, 38",south,oceanic,strip_transect,biomass,continuous,none_assumed,10min,NA,500m,12.5,not specified,2,1,no,not specified,NA,None,distribution,"multivariate, modelling",
Band-rumped storm-petrel occurrences in relation to upwelling off the coast of the southeastern United States,1981_1985,1985,Haney,Wilson Bull,97:543-547,04-1983,10-1984,"199, 175",north,oceanic,strip_transect,tasker,continuous,none_assumed,15min,NA,300m,not specified,not specified,1,1,no,not specified,NA,None,distribution,qualitative,
Common tern foraging--seasonal trends in prey fish densities and competition with bluefish,1981_1985,1985,Safina and Burger,Ecology,66:1457-1463,06-1982,08-1982,200,north,coastal,strip_transect,other,continuous,none_assumed,NA,NA,20m,not specified,not specified,2,not specified,no,not specified,NA,None,predator_prey,"modelling, hypothesis_testing",5.5m boat
Pelagic seabird community structure in the southern Benguela region--changes in response to man's activities,1981_1985,1985,Abrams,Biol Conserv,32:33-49,1980,1982,86,south,oceanic,strip_transect,biomass,continuous,commercial_fishing,10min,NA,300m,13,not specified,1,1,no,not specified,NA,None,"distribution, community_ecology","qualitative, modelling, hypothesis_testing",Counts of seabirds were made from stern trawlers and oil-rig tenders to examine the hypothesis that increases in man's fishing activity have coincided with changes in the distribution and abundance of Southern Ocean seabirds foraging in the Benguela region.
Social and spatial foraging patterns of the jackass penguin Spheniscus demersus,1981_1985,1985,Broni,S Afr J Zool,24:05:05,12-1982,08-1983,86,south,coastal,strip_transect,other,continuous,none_assumed,not specified,NA,150m,5,2,2,1,yes,not specified,NA,None,"distribution, natural_history","qualitative, hypothesis_testing, modelling",
Effects of a Gulf Stream warm‐core ring on summer seabird distribution in the northwest Atlantic Ocean,1986_1990,1987,Haney,Limnol Oceanogr,32:665-673,08-1984,08-1984,200,north,oceanic,strip_transect,tasker,continuous,none_assumed,15min,NA,300m,10,not specified,1,not specified,no,not specified,NA,None,distribution,"qualitative, hypothesis_testing",
"Records of seabird around Tasmania, April to July 1983",1986_1990,1987,Woehler,TBR,XX:7-16,04-1983,07-1983,94,south,oceanic,strip_transect,biomass,continuous,research_fishing,10min,NA,300m,not specified,not specified,1,1,no,pooled,NA,None,distribution,qualitative,recorded birds while trawling. Presented results as log book. 
Foraging ranges and partitioning of feeding zones in three species of southern albatrosses,1986_1990,1988,Weimerskirch et al,Condor,90:214-219,12-1984,03-1985,"112, 88, 89, 65, 41",south,oceanic,log_book,other,not specified,"commercial_fishing, none_assumed",not specified,NA,not specified,not specified,not specified,not specified,not specified,no,not specified,NA,None,distribution,qualitative,reported specifically data on marked ('dyed') albatrosses to investigate distribution
Oceanographic factors as determinants of the winter range of the Dovekie (Alle alle) off Atlantic Canada,1986_1990,1988,Brown,Colon Waterbirds,11:176-180,1969,1983,"200, 201, 225",north,oceanic,strip_transect,other,continuous,none_assumed,10min,NA,500m,4,12.5,1,1,no,not specified,NA,None,distribution,"hypothesis_testing, qualitative",
A distributional analysis of Diomedea immutabilis and D nigripes in the North Pacific,1986_1990,1988,Kuroda,J Yamashina Inst Ornithol,20:1-20,3-1983,10-1985,"169, 170, 171, 193, 194, 195, 196, 219, 218, 217, 190, 191, 192, 214, 215, 216, 239, 240",north,oceanic,log_book,other,continuous,none_assumed,uninterrupted,NA,"distance intervals (100, 200, >200m)",not specified,not specified,2,2,no,"""we payed much attention [...] to avoid double counts""",NA,None,distribution,"hypothesis_testing, qualitative",
Remote characterization of marine bird habitats with satellite imagery,1986_1990,1989,Haney,Colon Waterbirds,12:67-77,08-1984,08-1984,"175, 199",north,oceanic,strip_transect,other,continuous,none_assumed,15min,NA,300m,not specified,not specified,not specified,1,no,not specified,NA,None,distribution,hypothesis_testing,"Note that this paper refers to the author's PhD thesis as the method reference, which I could not find"
